"행정구역(시도)별(1)","특성별(1)",특성별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"행정구역(시도)별(1)","특성별(1)",특성별(2),계,매우 안전,비교적 안전,약간 불안,매우 불안,소계, -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족, -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족, -불안 이유: 생활권 내에는 야간에 인적이 드묾, -불안 이유: 생활권 내에 우범 지역 존재, -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함, -불안 이유: 기타
"전국","전체",계,100.0,12.5,57.1,26.7,3.7,100.0,16.9,6.9,26.4,3.2,46.3,0.5
"서울특별시","전체",계,100.0,12.3,60.1,24.5,3.1,100.0,12.1,6.3,24.5,4.3,52.2,0.6
"부산광역시","전체",계,100.0,13.6,58.8,24.8,2.8,100.0,16.8,7.2,26.1,3.5,46.2,0.3
"대구광역시","전체",계,100.0,12.6,60.9,23.1,3.4,100.0,17.4,5.7,22.8,3.1,50.9,0.2
"인천광역시","전체",계,100.0,10.9,57.6,27.2,4.2,100.0,13.4,7.3,27.9,3.9,46.5,1.1
"광주광역시","전체",계,100.0,16.7,56.3,24.0,3.0,100.0,22.9,8.2,19.0,4.6,45.3,-
"대전광역시","전체",계,100.0,12.4,54.8,25.2,7.5,100.0,27.6,7.6,20.2,3.7,40.9,-
"울산광역시","전체",계,100.0,11.3,55.0,30.2,3.5,100.0,16.3,7.3,24.2,2.5,48.6,1.1
"세종특별자치시","전체",계,100.0,14.8,56.7,25.1,3.4,100.0,12.0,6.7,28.2,1.5,50.1,1.5
"경기도","전체",계,100.0,11.9,54.1,30.0,4.0,100.0,16.4,6.9,23.0,3.2,50.1,0.4
"강원특별자치도","전체",계,100.0,12.5,54.4,28.6,4.5,100.0,18.6,4.9,38.0,2.2,35.7,0.5
"충청북도","전체",계,100.0,10.7,58.7,27.0,3.6,100.0,18.4,5.6,35.2,2.6,36.9,1.2
"충청남도","전체",계,100.0,15.2,55.9,24.6,4.3,100.0,21.3,8.0,32.0,2.0,36.4,0.3
"전북특별자치도","전체",계,100.0,11.1,55.5,28.7,4.8,100.0,14.6,6.0,35.7,1.4,42.4,-
"전라남도","전체",계,100.0,13.0,61.9,21.5,3.6,100.0,22.7,6.0,31.8,1.4,37.1,1.1
"경상북도","전체",계,100.0,12.3,59.0,25.6,3.2,100.0,17.6,9.5,31.0,3.8,38.0,0.1
"경상남도","전체",계,100.0,13.5,55.5,28.0,3.0,100.0,20.1,7.3,28.6,1.5,42.5,-
"제주특별자치도","전체",계,100.0,12.8,56.9,26.9,3.3,100.0,25.1,5.1,26.6,2.8,38.9,1.5
